Award	1st	Team	% of Vote	2nd	Team	% of Vote	3rd	Team	% of Vote
MVB	Mr awesome:)	BCC	29.15%	sonder	BOA	17.78%	Sugar	MIA	14.56%
Offensive Ball of the Season	Skwid	MIA	31.77%	i am zeus	BOA	18.77%	Undify	QUE	15.72%
Defensive Ball of the Season	Mr awesome:)	BCC	36.96%	sonder	BOA	25.59%	Sugar	MIA	9.31%
Rookie of the Season	Mr awesome:)	BCC	46.06%	yung breezy	BOA	15.52%	UNIT-01	NIP	13.39%
Offensive Team Ball									
Defensive Team Ball									
Well Rounded	Sugar	MIA	24.48%	sonder	BOA	17.22%	Rick G. #853	BCC	13.58%
Most Improved	Skwid	MIA	18.68%	yung breezy	BOA	17.62%	big brother	NIP	12.85%
Best Valued	i am zeus	BOA	19.67%	Sugar	MIA	18.53%	Mr awesome:)	BCC	14.60%
Best Offense Pair	Juke Juice // Skwid		36.28%	yung breezy // i am zeus		21.78%	obama. // Adarssh		12.68%
Best Defense Pair	Mr awesome:) // Rick G. #853		27.93%	sonder // Makin Bacon		23.33%	JARVISLANDRY // Sugar		17.21%
FU GASP	laserpig	QUE	24.33%	Makin Bacon	BOA	21.57%	CatPuke	ISO	19.04%
Position Change	Juke Juice	MIA	31.08%	CatPuke	ISO	20.88%	Four Twenty	WTP	15.44%
Best Captain	Rick G. #853	BCC	28.04%	Sadness		23.89%	JARVISLANDRY	MIA	22.61%
Best Co-Captain	flaccid trip	KGB	20.27%	i love HD		16.95%	IcePlatypus		14.49%
Most Cohesive Unit	Bank of Americaps		24.21%	Legends of the Splittin' Temple		18.14%	Bohemian Cap City		17.52%
Best Streamer	Flaccid Trip	KGB	30.19%	Balled Eagle		27.63%	i love HD		10.50%
Heart Award	iceplatypus		15.29%	KahnMan	LBT	10.49%	Funky Spud		10.44%
Behind the Scenes	Buddy Bomb		38.09%	Top 10s		19.72%	Spike and Spike		19.23%
									
All-Stars [Offense]	Skwid		84.10%	i am zeus		65.90%	Undify		65.90%
All-Stars [Offense]	Juke Juice		59.10%	drewfa		34.10%			
All-Stars [Defense]	Mr awesome:)		88.60%	sonder		70.50%	Sugar		65.90%
All-Stars [Defense]	superdiglett		52.30%	karlwithak		52.30%			
