Award	1st	Team	% of Vote	2nd	Team	% of Vote	3rd	Team	% of Vote
MVB	Wanye	MBC	36.57%	toasty	CJK	24.63%	BALLDON'TLIE	AC	12.63%
Offensive Ball of the Season	gg!	MBC	28.37%	toasty	CJK	24.49%	kool aid	MBC	15.55%
Defensive Ball of the Season	Wanye	MBC	40.64%	Doris	GB	17.63%	Armbranch	SNI	17.49%
Offensive Rookie of the Season	kool aid	MBC	37.40%	NameLEss	CJK	21.57%	Mr awesome:)	AC	17.39%
Defensive Rookie of the Season									
5th Ball	Gleg	HGW	26.36%	CoolCat	CJK	22.47%	First	RCC	22.46%
Well Rounded	BALLDON'TLIE	AC	21.14%	Ty	SNI	20.53%	Wanye	MBC	20.28%
Most Improved	no name	SNI	30.04%	Aaron	SNI	27.08%	Messi	WMS	23.21%
Best Valued	kool aid	MBC	33.53%	Messi	WMS	19.75%	NameLEss	CJK	13.12%
Best Offense Pair	gg! // kool aid		38.14%	BALLDON'TLIE // FENDER		21.69%	aaron // no name		15.19%
Best Defense Pair	Wanye // dodsfaIl		43.57%	Armbranch // Ty		23.02%	grumpy // Xile		10.40%
FU GASP	Ty	SNI	32.17%	dodsfall	MBC	20.13%	GOOBR	HGW	18.97%
Best Captain	Spheroid.		27.77%	d0pe // Prime		22.81%	Gryff		17.35%
Most Cohesive Unit	Mumble Cappers		33.16%	Snipe Hunt		27.85%	ALL CAPS		13.37%
Best Streamer	Hjalpa		33.33%	FLY		19.31%	aaron	SNI	19.02%
Best Commentator	BALLDON'TLIE	AC	34.75%	Hjalpa		29.27%	aaron	SNI	13.31%
Behind the Scenes	Jeremy Jamm		35.91%	d0pe		31.05%	Spheroid.		12.72%
									
All-Stars [Offense]	gg!		91.20%	toasty		88.20%	kool aid		76.50%
All-Stars [Offense]	BALLDON'TLIE		70.60%	Messi		44.10%	-	-	-
All-Stars [Defense]	Wanye		100.00%	Doris		82.40%	Armbranch		73.50%
All-Stars [Defense]	q42		50.00%	MR AWESOME :)		41.20%	-	-	-
