Award	1st	Team	% of Vote	2nd	Team	% of Vote	3rd	Team	% of Vote
MVB	Dusk	HGB	23.57%	jUKe JUIce	RLL	16.56%	rake	HGB	15.29%
Offensive Ball of the Season	jUKe JUIce	RLL	24.34%	rake	HGB	17.11%	king krule	QUE	15.13%
Defensive Ball of the Season	Dusk	HGB	27.92%	Gleg	RLL	16.88%	Disliked		13.64%
Offensive Rookie of the Season	rake	HGB	32.89%	b1g	HGB	29.53%	JSwan	RLL	26.17%
Defensive Rookie of the Season	Niplepotamus	QUE	61.06%	CatPuke	KSR	38.94%			
5th Ball	Irony		52.00%	bergieberg		48.00%			
Well Rounded	Dusk	HGB	19.75%	DUMPTRUCKASS	QUE	17.20%	rake	HGB	10.83%
Most Improved	rake	HGB	37.86%	Gleg	RLL	29.29%	king krule	QUE	26.43%
Best Valued	KING KRULE	QUE	25.17%	rake	HGB	24.48%	Disliked		17.48%
Best Offense Pair	Juke Juice // JSwan		33.33%	Sadness // KING KRULE		28.15%	rake // b1g		20.00%
Best Defense Pair	Dusk // GRIZZLE		32.62%	DUMPTRUCKASS// Niplepotamus		22.70%	St. Bernard // hz		18.44%
FU GASP	Sadness	QUE	25.66%	b1g	HGB	16.45%	ASAP	RST	15.13%
Most Cohesive Unit	??	CAP	21.58%	Rolling Loud		20.14%	Harlem Globebotters		17.27%
Best Captain	no name		21.05%	Hjalpa		18.80%	Prime		17.29%
									
All-Stars [Offense]	juke juice		78.60%	rake		60.70%	king krule		60.70%
All-Stars [Offense]	JSwan		57.10%	ASAP		42.90%	-	-	-
All-Stars [Defense]	Dusk		60.70%	Gleg		53.60%	Disliked		46.40%
All-Stars [Defense]	Niplepotamus		39.30%	St. Bernard		32.10%	-	-	-
