Award	1st	Team	% of Vote	2nd	Team	% of Vote	3rd	Team	% of Vote
MVB	d0pe	SRP		VEEZY	SC		obama.	PIC	
OBOS	d0pe	SRP		VEEZY	SC		Mufro	SOW	
DBOS	p-d0g	PIC		Homie	WTP		777z	BGB	
OROS	Suchit	MTB		gghob	QAK		IfYouSeekAmy	WTP	
DROS	p-d0g	PIC		Homie	WTP		Pavement	SOW	
5th Ball	PRJCT	SC		Pavement	SOW		Zvonvok	QAK	
Well Rounded	obama.	PIC		Cheetosrule	CLP		Bamboozler	SOW	
Most Improved	TACO.	SC		d0pe	SRP		777z	BGB	
Best Valued	NEB.	SC		Camelblues	SOW		refined	CLP	
Best Offensive Performance	d0pe	SRP		Mufro	SOW		#SelfySyntax	SRP	
Best Defensive Performance	thenewguy.	CLP		thenewguy.	CLP		Homie	WTP	
FU GASP	Bamboozler	SOW		Coach G.	TPB		IfYouSeekAmy	WTP	
Most Cohesive Unit [Red]	Stranger Pings	SRP		Spheres of War	SOW		Weed The People	WTP	
Best Captain [Red]	Mufro	SOW		#SelfySyntax	SRP		bright	BUB	
Most Cohesive Unit [Blue]	SMALL CAPS	SC		Pi-Curious	PIC		Club Pinguin	CLP	
Best Captain [Blue]	BALLDON'TLIE	SC		BallAnka	PIC		Tim Hortons	CLP	
									
All-Stars [Offense]	d0pe	SRP		VEEZY	SC		Mufro	SOW	
All-Stars [Offense]	TACO.	SOW		#SelfySyntax	SRP				
All-Stars [Defense]	obama.	PIC		p-d0g	PIC		Homie	WTP	
All-Stars [Defense]	Doris	SRP		777z	BGB				
