Award	1st	Team	% of Vote	2nd	Team	% of Vote	3rd	Team	% of Vote
MVB	team		36.84%	TheBob18		13.73%	Prizm		12.61%
Offensive Ball of the Season	team		38.36%	mactheroni		20.32%	Galvatron		9.34%
Defensive Ball of the Season	TheBob18		24.38%	AnthonyDavis		18.45%	chucky		15.92%
Rookie of the Season	AnthonyDavis		36.10%	Raccoon		33.39%	87		30.51%
Offensive Team Ball	Jerry.		42.27%	Rick G. #853		33.44%	Slowpolka		14.75%
Defensive Team Ball	Pro Boat		37.94%	lukemoo		36.77%	Gram		14.61%
Well Rounded	popsic		24.21%	Maurice		21.03%	Prizm		19.77%
Most Improved	AnthonyDavis		26.77%	chucky		21.87%	pk		13.37%
Best Valued	no name		26.13%	i am zeus.		17.63%	Aunt Jemima		11.08%
Best Offense Pair	mac // no name		24.10%	Prizm // 2P1S		20.39%	Raccoon // Galvatron		18.41%
Best Defense Pair	Raven // B.I.G.money		22.18%	AnthonyDavis // wassa		20.04%	TheBob18 // superdiglett		19.21%
FU GASP	IfYouSeekAmy		26.69%	Crowman		11.36%	inthesomeday		10.93%
Position Change	Activ.		33.87%	Prizm		24.47%	D Rek		17.97%
Best Captain	chucky		27.84%	Prizm		15.70%	Sir Cle Jerk		10.11%
Best Co-Captain	might dino		23.96%	Activ.		17.58%	asap		14.36%
Most Cohesive Unit	The Dark Side of the Ball		22.40%	The Land Before Timers		13.81%	Big Poppa and the Dinos		11.31%
Best Streamer	BallAnka		18.86%	TheBob18		18.27%	grant		16.57%
Heart Award	victor messi		14.21%	DwarfFortres		13.22%	drewfa		10.87%
Behind the Scenes	The TagPro Lead		30.55%	Activ.		24.36%	Top 10 crew		10.11%
									
All-Stars [Offense]	team		77.60%	mactheroni		75.90%	Galvatron		62.10%
All-Stars [Offense]	Prizm		48.30%	ThePace		46.60%	AuntJemima		46.60%
All-Stars [Offense]	sidewalk		44.80%	i am zeus.		36.20%	-	-	-
All-Stars [Defense]	TheBob18		66.70%	AnthonyDavis		61.70%	chucky		58.30%
All-Stars [Defense]	Raven		55.00%	popsic		50.00%	Maurice		46.70%
All-Stars [Defense]	360broscope		43.30%	superdiglett		36.70%	-	-	-
